Index	Genetic_ID	Source	Date_mean	Group_ID	Locality	Country	Latitude	Longitude	Sex	Culture
I6712	I6712	NarasimhanPattersonScience2019	4625	Russia_Afanasievo_son.I10565	Middle Yenisei region, Afanasieva Gora	Russia	54.35661	90.919186	M	Russia_Afanasievo_2
I6711	I6711	NarasimhanPattersonScience2019	4750	Russia_Afanasievo	Middle Yenisei region, Afanasieva Gora	Russia	54.35661	90.919186	M	Russia_Afanasievo_1
I6714	I6714	NarasimhanPattersonScience2019	4479	Russia_Afanasievo_son.I3388_son.I3950_brother.I3949	Altai Mountains, Yenisey River, left bank of Karasuk tributary, Karasuk III	Russia	48.832683	83.909744	M	Russia_Afanasievo_2
I6718	I6718	NarasimhanPattersonScience2019	3493	Russia_MLBA_Krasnoyarsk	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	Russia	55.1924	89.3053	M	Russia_MLBA_1
I4157	I4157	NarasimhanPattersonScience2019	3400	Uzbekistan_Bustan_BA	Bustan	Uzbekistan	37.66666667	67	M	no
I6707	I6707	NarasimhanPattersonScience2019	3432	Kazakhstan_MLBA_Bylkyldak	Karaganda region, Bylkyldak	Kazakhstan	49.709894	73.882838	F	no
I6708	I6708	NarasimhanPattersonScience2019	4042	Kazakhstan_Kanai_MBA	Northeastern Kazakhstan, Kanai Cemetery	Kazakhstan	48.832683	83.909744	M	no
I6709	I6709	NarasimhanPattersonScience2019	3234	Kazakhstan_LBA_o3	East Kazakhstan region, Katon Karagai district, Ul’ken Narym, Malaya Krasnoyarka	Kazakhstan	49.1244	84.3041	F	no
I6788	I6788	NarasimhanPattersonScience2019	3674	Kazakhstan_MLBA_Alakul_Lisakovskiy	Lisakovskiy	Kazakhstan	52.61	62.69	F	no
I6789	I6789	NarasimhanPattersonScience2019	3732	Kazakhstan_Maitan_MLBA_Alakul	Maitan	Kazakhstan	50.09	74.44	M	no
I6790	I6790	NarasimhanPattersonScience2019	3695	Kazakhstan_Maitan_MLBA_Alakul	Maitan	Kazakhstan	50.09	74.44	F	no
I6791	I6791	NarasimhanPattersonScience2019	3674	Kazakhstan_Maitan_MLBA_Alakul	Maitan	Kazakhstan	50.09	74.44	F	no
I6792	I6792	NarasimhanPattersonScience2019	3724	Kazakhstan_Maitan_MLBA_Alakul_o1	Maitan	Kazakhstan	50.09	74.44	F	no
I6793	I6793	NarasimhanPattersonScience2019	3631	Kazakhstan_Maitan_MLBA_Alakul	Maitan	Kazakhstan	50.09	74.44	M	no
I6794	I6794	NarasimhanPattersonScience2019	3715	Kazakhstan_Maitan_MLBA_Alakul	Maitan	Kazakhstan	50.09	74.44	M	no
I6795	I6795	NarasimhanPattersonScience2019	3642	Kazakhstan_Maitan_MLBA_Alakul_o2	Maitan	Kazakhstan	50.09	74.44	F	no
I6796	I6796	NarasimhanPattersonScience2019	3761	Kazakhstan_Maitan_MLBA_Alakul	Maitan	Kazakhstan	50.09	74.44	F	no
I6797	I6797	NarasimhanPattersonScience2019	3695	Kazakhstan_Maitan_MLBA_Alakul	Maitan	Kazakhstan	50.09	74.44	F	no
I6799	I6799	NarasimhanPattersonScience2019	3715	Kazakhstan_MLBA_Alakul_Satan	Satan	Kazakhstan	49.12	75.81	M	no
I6800	I6800	NarasimhanPattersonScience2019	3656	Kazakhstan_MLBA_Alakul_Lisakovskiy	Lisakovskiy	Kazakhstan	52.61	62.69	F	no
I7101	I7101	NarasimhanPattersonScience2019	4050	Turkmenistan_Gonur_BA_1_lc	Gonur	Turkmenistan	38.21228	62.03443	M	no
I7102	I7102	NarasimhanPattersonScience2019	3850	Turkmenistan_Gonur_BA_1_lc	Gonur	Turkmenistan	38.21228	62.03443	F	no
I7170	I7170	NarasimhanPattersonScience2019	3850	Turkmenistan_Gonur_BA_1_lc	Gonur	Turkmenistan	38.21228	62.03443	M	no
I7171	I7171	NarasimhanPattersonScience2019	4050	Turkmenistan_Gonur_BA_1_lc	Gonur	Turkmenistan	38.21228	62.03443	F	no
I7411	I7411	NarasimhanPattersonScience2019	3542	Uzbekistan_Dzharkutan_BA_1	Dzharkutan	Uzbekistan	37.75	67	F	no
I7173	I7173	NarasimhanPattersonScience2019	4050	Turkmenistan_Gonur_BA_1_contam_lc	Gonur	Turkmenistan	38.21228	62.03443	U	no
I7412	I7412	NarasimhanPattersonScience2019	3642	Uzbekistan_Dzharkutan_BA_3	Dzharkutan	Uzbekistan	37.75	67	F	no
I7414	I7414	NarasimhanPattersonScience2019	3925	Uzbekistan_SappaliTepe_BA	Sappali Tepe	Uzbekistan	37.41666667	66.83333333	F	no
I7416	I7416	NarasimhanPattersonScience2019	3824	Uzbekistan_SappaliTepe_BA	Sappali Tepe	Uzbekistan	37.41666667	66.83333333	F	no
I7419	I7419	NarasimhanPattersonScience2019	3754	Uzbekistan_SappaliTepe_BA	Sappali Tepe	Uzbekistan	37.41666667	66.83333333	M	no
I7420	I7420	NarasimhanPattersonScience2019	3750	Uzbekistan_SappaliTepe_BA	Sappali Tepe	Uzbekistan	37.41666667	66.83333333	M	no
I7421	I7421	NarasimhanPattersonScience2019	3790	Uzbekistan_SappaliTepe_BA	Sappali Tepe	Uzbekistan	37.41666667	66.83333333	M	no
I7492	I7492	NarasimhanPattersonScience2019	3853	Uzbekistan_SappaliTepe_BA	Sappali Tepe	Uzbekistan	37.41666667	66.83333333	M	no
I7493	I7493	NarasimhanPattersonScience2019	3750	Uzbekistan_SappaliTepe_BA_o	Sappali Tepe	Uzbekistan	37.41666667	66.83333333	M	no
I7494	I7494	NarasimhanPattersonScience2019	3875	Uzbekistan_SappaliTepe_BA2	Sappali Tepe	Uzbekistan	37.41666667	66.83333333	M	no
I7495	I7495	NarasimhanPattersonScience2019	3853	Uzbekistan_SappaliTepe_BA2	Sappali Tepe	Uzbekistan	37.41666667	66.83333333	F	no
I7542	I7542	NarasimhanPattersonScience2019	3766	Uzbekistan_SappaliTepe_BA	Sappali Tepe	Uzbekistan	37.41666667	66.83333333	F	no
I3023	I3023	BraceDiekmannNatureEcologyEvolution2019	5300	Wales_N	Wales, Brechnockshire, Hay-on-Wye, Little Lodge	Great Britain	52.034891	-3.193573	M	Wales_N_2
I4158	I4158	NarasimhanPattersonScience2019	3400	Uzbekistan_Bustan_BA_o_contam_lc	Bustan	Uzbekistan	37.66666667	67	M	no
I6695	I6695	NarasimhanPattersonScience2019	4575	Czech_CordedWare	Bilina	Czech Republic	50.548056	13.776111	F	Czech_CordedWare_0
I6696	I6696	NarasimhanPattersonScience2019	4575	Czech_CordedWare	Velké Žernoseky	Czech Republic	50.542896	14.065942	M	Czech_CordedWare_0
I6713	I6713	NarasimhanPattersonScience2019	4450	Russia_Afanasievo	Middle Yenisei region, Afanasieva Gora	Russia	54.35661	90.919186	F	Russia_Afanasievo_2
I6715	I6715	NarasimhanPattersonScience2019	4850	Russia_Afanasievo	Altai Mountains, Yenisey River, left bank of Karasuk tributary, Karasuk III	Russia	48.832683	83.909744	F	Russia_Afanasievo_0
I6716	I6716	NarasimhanPattersonScience2019	3571	Russia_MLBA_Krasnoyarsk	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	Russia	55.1924	89.3053	F	Russia_MLBA_1
I6717	I6717	NarasimhanPattersonScience2019	3391	Russia_MLBA_Krasnoyarsk_o	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	Russia	55.1924	89.3053	M	Russia_MLBA_1
I7040	I7040	OlaldeNature2018	4300	Hungary_EBA_Protonagyrev	Szigetszentmiklós-Üdülősor	Hungary	47.429954	19.051966	F	Hungary_EBA_0
I7042	I7042	OlaldeNature2018	6086	Hungary_MN	Szigetszentmiklós-Üdülősor	Hungary	47.429954	19.051966	M	Hungary_MN_1
I7044	I7044	OlaldeNature2018	4300	Hungary_EBA_BellBeaker	Szigetszentmiklós-Üdülősor	Hungary	47.429954	19.051966	M	Hungary_EBA_0
I7045	I7045	OlaldeNature2018	4231	Hungary_EBA_BellBeaker	Szigetszentmiklós-Üdülősor	Hungary	47.429954	19.051966	F	Hungary_EBA_0
I7195	I7195	OlaldeNature2018	4250	Czech_EBA	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	F	Czech_EBA_0
I7196	I7196	OlaldeNature2018	4250	Czech_EBA	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	M	Czech_EBA_0
I7197	I7197	OlaldeNature2018	6438	Czech_MN	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	M	Czech_MN_0
I7198	I7198	OlaldeNature2018	4026	Czech_EBA	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	F	Czech_EBA_0
I7199	I7199	OlaldeNature2018	4039	Czech_EBA	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	M	Czech_EBA_0
I7200	I7200	OlaldeNature2018	4250	Czech_EBA	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	F	Czech_EBA_0
I7201	I7201	OlaldeNature2018	4250	Czech_EBA	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	F	Czech_EBA_0
I7202	I7202	OlaldeNature2018	4250	Czech_EBA	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	M	Czech_EBA_0
I7203	I7203	OlaldeNature2018	4250	Czech_EBA	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	M	Czech_EBA_0
I7205	I7205	OlaldeNature2018	4200	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	M	Czech_BellBeaker_0
I7211	I7211	OlaldeNature2018	4183	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	F	Czech_BellBeaker_0
I7213	I7213	OlaldeNature2018	4231	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	F	Czech_BellBeaker_0
I7249	I7249	OlaldeNature2018	4011	Czech_BellBeaker	Brandýsek	Czech Republic	50.19	14.158	M	Czech_BellBeaker_0
I7251	I7251	OlaldeNature2018	4200	Czech_BellBeaker	Brandýsek	Czech Republic	50.19	14.158	M	Czech_BellBeaker_0
I7250	I7250	OlaldeNature2018	4200	Czech_BellBeaker	Brandýsek	Czech Republic	50.19	14.158	F	Czech_BellBeaker_0
I7269	I7269	OlaldeNature2018	4200	Czech_BellBeaker	Brandýsek	Czech Republic	50.19	14.158	M	Czech_BellBeaker_0
I7272	I7272	OlaldeNature2018	5417	Czech_Eneolithic	Brandýsek	Czech Republic	50.19	14.158	M	Czech_Eneolithic_0
I7270	I7270	OlaldeNature2018	4200	Czech_BellBeaker	Brandýsek	Czech Republic	50.19	14.158	F	Czech_BellBeaker_0
I7275	I7275	OlaldeNature2018	4200	Czech_BellBeaker	Brandýsek	Czech Republic	50.19	14.158	M	Czech_BellBeaker_0
I7276	I7276	OlaldeNature2018	4200	Czech_BellBeaker	Brandýsek	Czech Republic	50.19	14.158	M	Czech_BellBeaker_0
I7279	I7279	OlaldeNature2018	4200	Czech_CordedWare	Brandýsek	Czech Republic	50.19	14.158	M	Czech_CordedWare_0
I7280	I7280	OlaldeNature2018	4200	Czech_CordedWare	Brandýsek	Czech Republic	50.19	14.158	M	Czech_CordedWare_0
I7281	I7281	OlaldeNature2018	4194	Czech_BellBeaker	Prague 5 - Malá Ohrada	Czech Republic	50.044984	14.339296	F	Czech_BellBeaker_0
I7286	I7286	OlaldeNature2018	4221	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	M	Czech_BellBeaker_0
I7287	I7287	OlaldeNature2018	4200	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	M	Czech_BellBeaker_0
I7288	I7288	OlaldeNature2018	4200	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	M	Czech_BellBeaker_0
I7290	I7290	OlaldeNature2018	4200	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	F	Czech_BellBeaker_0
I7554	I7554	OlaldeNature2018	5182	Scotland_N	Scotland, Orkney, Unstan Chamber Tomb	Great Britain	58.9863	-3.249	M	Scotland_N_3
I7568	I7568	OlaldeNature2018	3400	England_MBA	England, Needingworth Quarry, Over Narrows	Great Britain	52.34	0.03	F	England_MBA_0
I7569	I7569	OlaldeNature2018	3484	England_C_EBA	England, Lincolnshire, Langtoft	Great Britain	52.696301	-0.34	F	England_C_EBA_1
I7570	I7570	OlaldeNature2018	3569	England_C_EBA	England, Lincolnshire, Langtoft	Great Britain	52.696301	-0.34	M	England_C_EBA_1
I7571	I7571	OlaldeNature2018	3306	England_MBA	England, Needingworth Quarry, Over Narrows	Great Britain	52.34	0.03	M	England_MBA_0
I7572	I7572	OlaldeNature2018	3380	England_MBA	England, Needingworth Quarry, Over Narrows	Great Britain	52.34	0.03	M	England_MBA_0
I7573	I7573	OlaldeNature2018	3520	England_C_EBA	England, Cambridgeshire, Fordham	Great Britain	52.310608	0.386227	F	England_C_EBA_1
I7574	I7574	OlaldeNature2018	3271	England_MBA	England, Cambridgeshire, Trumpington, Clay Farm	Great Britain	52.17839	0.122544	F	England_MBA_0
I7575	I7575	OlaldeNature2018	3107	England_LBA	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	M	England_LBA_0
I7576	I7576	OlaldeNature2018	3039	England_LBA	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	M	England_LBA_0
I7577	I7577	OlaldeNature2018	3198	England_MBA	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	M	England_MBA_0
I7578	I7578	OlaldeNature2018	3080	England_LBA	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	F	England_LBA_0
I7626	I7626	OlaldeNature2018	3231	England_MBA	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	F	England_MBA_0
I7627	I7627	OlaldeNature2018	3268	England_MBA	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	F	England_MBA_0
I7628	I7628	OlaldeNature2018	3033	England_LBA	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	M	England_LBA_0
I7630	I7630	OlaldeNature2018	3734	England_C_EBA	England, Yorkshire, East Riding, North Ferriby, Melton Quarry	Great Britain	53.726187	-0.529641	M	England_C_EBA_1
I7635	I7635	OlaldeNature2018	4030	England_C_EBA	England, County Durham, Stockton-on-Tees, Windmill Fields	Great Britain	54.522812	-1.308134	F	England_C_EBA_2
I7638	I7638	OlaldeNature2018	3995	England_C_EBA	England, Oxfordshire, Radley, Barrow Hills	Great Britain	51.405327	-1.150767	M	England_C_EBA_2
I7639	I7639	OlaldeNature2018	3797	England_C_EBA	England, Cambridgeshire, Chippenham, Waterhall Farm	Great Britain	52.276938	0.461902	F	England_C_EBA_1
I7640	I7640	OlaldeNature2018	3307	England_MBA	England, Cambridgeshire, Trumpington, Clay Farm	Great Britain	52.17839	0.122544	M	England_MBA_0
I1783	I1783	NarasimhanPattersonScience2019	4068	Turkmenistan_Gonur_BA_1_o1	Gonur	Turkmenistan	38.21228	62.03443	F	no
I0719.SG	I0719	FlegontovNature2019	505	USA_AK_PaleoAleut.SG	Alaska, Aleutian Islands, Umnak Island, Chaluka Midden	USA	52.9883684	-168.8205659	M	no
MA826.RISE00.SG	Sope	SaagCurrentBiology2017.merge.with.AllentoftNature2015	4442	Estonia_CordedWare.SG_o1	Jäbara, Ida-Viru, Sope	Estonia	59.408	27.026	F	Estonia_CordedWare_0
MA968.MA976.SG	Ardu1	SaagCurrentBiology2017	4652	Estonia_CordedWare.SG	Ardu, Harju	Estonia	59.1	25.37	M	Estonia_CordedWare_0
CabecoArruda117B.SG	CabecoArruda117B	MartinianoPLoSGenetics2017	5050	Portugal_C.SG	Lisbon, Torres Vedras, Cabeço da Arruda I	Portugal	39.110833	-8.663583	M	Portugal_C_1
CabecoArruda122A.SG	I11600	MartinianoPLoSGenetics2017	5050	Portugal_C.SG	Lisbon, Torres Vedras, Cabeço da Arruda I	Portugal	39.110833	-8.663583	M	Portugal_C_1
CovaMoura364.SG	CovaMoura364	MartinianoPLoSGenetics2017	4200	Portugal_LN_C.SG	Cova da Moura	Portugal	38.745044	-9.21522	M	Portugal_LN_1
CovaMoura9B.SG	CovaMoura9B	MartinianoPLoSGenetics2017	4200	Portugal_LN_C.SG	Cova da Moura	Portugal	38.745044	-9.21522	F	Portugal_LN_1
DolmenAnsiao96B.SG	DolmenAnsiao96B	MartinianoPLoSGenetics2017	5450	Portugal_LN_C.SG	Dolmen de Ansião	Portugal	39.916667	-8.433333	M	Portugal_LN_2
LugarCanto41.SG	LugarCanto41	MartinianoPLoSGenetics2017	5950	Portugal_MN.SG	Lugar do Canto	Portugal	39.414	-8.822	F	Portugal_MN_0
LugarCanto42.SG	LugarCanto42	MartinianoPLoSGenetics2017	5950	Portugal_MN.SG	Lugar do Canto	Portugal	39.414	-8.822	F	Portugal_MN_0
LugarCanto44.SG	LugarCanto44	MartinianoPLoSGenetics2017	5950	Portugal_MN.SG	Lugar do Canto	Portugal	39.414	-8.822	F	Portugal_MN_0
LugarCanto45.SG	LugarCanto45	MartinianoPLoSGenetics2017	5950	Portugal_MN.SG	Lugar do Canto	Portugal	39.414	-8.822	M	Portugal_MN_0
MonteCanelas337A.SG	MonteCanelas337A	MartinianoPLoSGenetics2017	4954	Portugal_LN_C_o.SG	Monte Canelas 1	Portugal	37.199005	-8.587977	M	Portugal_LN_0
MonteGato104.SG	MonteGato104	MartinianoPLoSGenetics2017	3546	Portugal_MBA.SG	Monte do Gato de Cima 3	Portugal	37.944722	-7.598889	M	Portugal_MBA_0
TV32032extra.SG	TV32032extra	MartinianoPLoSGenetics2017	3550	Portugal_MBA.SG	Torre Velha 3	Portugal	37.199005	-8.587977	M	Portugal_MBA_0
TV3831.SG	TV3831	MartinianoPLoSGenetics2017	3550	Portugal_MBA.SG	Torre Velha 3	Portugal	37.199005	-8.587977	M	Portugal_MBA_0
ValeOuro10207.SG	ValeOuro10207	MartinianoPLoSGenetics2017	3550	Portugal_MBA.SG	Monte do Vale do Ouro 2	Portugal	38.05	-8.1	F	Portugal_MBA_0
Sanganji_131421-3_A1.SG	Sanganji131421-3	KanzawaKiriyamaJHG2016	3177	Japan_Jomon.SG_lc	Tohoku, Fukushima, Sanganji Shell Mound	Japan	37.844	140.91	M	no
Sanganji_131421-3_A2.SG	Sanganji131421-3	KanzawaKiriyamaJHG2016	3177	Japan_Jomon.SG	Tohoku, Fukushima, Sanganji Shell Mound	Japan	37.844	140.91	M	no
Sanganji_131464_B.SG	Sanganji131464	KanzawaKiriyamaJHG2016	3280	Japan_Jomon.SG	Tohoku, Fukushima, Sanganji Shell Mound	Japan	37.844	140.91	F	no
RISE507.508.merge.SG	RISE507.508.merge	AllentoftNature2015	5077	Russia_Afanasievo.SG	River Kuyum	Russia	51.498	85.97	F	Russia_Afanasievo_0
